index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep,Jquasisymmetry,Jiota,Jmercier,Jaspect,Jwell
55,56,0.05739458542591555,6.764733498896512e-07,10.56548458081517,5.93227323223518e-11,0.0,3.347464770584283e-13,3.5625459090031622e-09,9.753030640787268e-09,12.48046275110094,14.246657743616657,0.0020994975587968587,0.001910116466885037,0.14978305954293117,0.0213620900607436,4.854145584835677e-05,0.0,0.0010546516107761794,
56,57,0.05752014981684456,6.785093209101366e-07,10.564585336069726,7.726633270227687e-11,0.0,0.0,2.2809050202374185e-09,9.746288724664229e-09,12.53548368155975,14.23959947594794,0.0021041864189268187,0.0015539658529979798,0.14975446702358797,0.021259670935371684,5.596463721804665e-05,0.0,0.0011701434599053716,
57,58,0.057397794467755336,6.768533582188858e-07,10.565186994147457,6.439706892772583e-11,0.0,6.0513194207136e-14,2.7002625361847135e-09,9.750815413415382e-09,12.498597411154666,14.244161323360885,0.002100734235296143,0.0016782465530782963,0.14978851213143074,0.021328286167609272,5.092000315489168e-05,0.0,0.0010918635810667247,
58,59,0.05725835160114795,6.754514614749467e-07,10.56614011049751,2.7558888229187534e-12,0.0,2.6908000570786566e-13,1.198651175596221e-09,9.762410760845341e-09,12.483012030208997,14.250251773247047,0.0020959253920181803,0.0011567658114515977,0.14994762936095687,0.021391491289392172,5.0032017922323305e-05,0.0,0.0010457627135217115,
59,60,0.057260969311814305,6.690490175699584e-07,10.56749762720939,9.198048299298402e-11,0.0,0.0,5.74773859331278e-09,9.77833314871442e-09,12.497127213528772,14.259208087899735,0.002086516118956469,0.002384689545268328,0.1496549224261292,0.021421633264729838,5.1937470862084384e-05,0.0,0.0010866078487147483,
60,61,0.057180558498361386,6.714531431427527e-07,10.566827385782085,2.8941066474802448e-11,0.0,4.2596615197310304e-16,2.6974164630032938e-09,9.770498244581479e-09,12.490158729767064,14.254627584313479,0.0020902389634239603,0.0016665298916044118,0.14980979308840195,0.021406677895045065,5.099562294549049e-05,0.0,0.0010664244067226118,
61,62,0.05706793857097931,6.682925287104217e-07,10.56781835023941,1.0932037304777439e-10,0.0,3.2953591458556257e-12,2.340663033115596e-09,9.782301820321243e-09,12.508594929874253,14.259562028493303,0.002082640264989523,0.0015541455375115809,0.14962379131933848,0.021407256661524522,5.0953696497202e-05,0.0,0.0011247394796802316,
62,63,0.05698203069400795,6.629758741694406e-07,10.569717229321821,1.4135955602678625e-10,0.0,7.640321951218073e-11,4.05531363696267e-09,9.802523959349422e-09,12.528566659200173,14.269337069800649,0.002070492977718563,0.002009601633131133,0.1495720452551333,0.02140429746841993,5.599721361526578e-05,0.0,0.001165187362370766,
63,64,0.05685459622150893,6.598366869200614e-07,10.571562064904134,1.2217860673452935e-10,0.0,1.4265299468332238e-10,3.8679008351355356e-09,9.82194811317853e-09,12.469370397453513,14.275886494791447,0.0020618224858084556,0.001954543869111847,0.1496001684619615,0.02140479653361764,6.268633451954945e-05,0.0,0.001133367969206243,
64,65,0.05672986303372451,6.574017707375439e-07,10.574262540038692,5.707294369163245e-11,0.0,4.4927143472768705e-10,3.76901568432431e-09,9.853614356946569e-09,12.473792564622176,14.286781456376568,0.002058261877566789,0.0019257757555556265,0.1497264311573231,0.021372875597580113,6.820666292128874e-05,0.0,0.001098383549069967,
