index,Nfeval,J,Jf,Lengths,J_CC,J_LENGTH_PENALTY,J_CURVATURE,J_MSC,J_ALS,curvatures,msc,B.n,gradJcoils,C-C-Sep
99,100,1.159467938644069e-07,1.0574118311848495e-07,10.803242748345045,0.0,0.0,9.148017422682342e-14,0.0,1.0205519265747729e-08,14.375668160682185,14.859148361206731,0.0009506473445592806,4.5462728988457435e-06,0.16352240746308933
100,101,1.2680341930271487e-07,1.1651605194740993e-07,10.813485816603986,0.0,0.0,0.0,0.0,1.0287367355304948e-08,14.256048523300535,15.193156662607592,0.0009761805312483453,0.00010907655357187532,0.1635577202397185
101,102,1.1587411813003899e-07,1.0566222948757986e-07,10.804017043847665,0.0,0.0,0.0,0.0,1.0211888642459126e-08,14.368228040246649,14.879880136253568,0.0009492945183116974,2.3156296755719404e-06,0.16352517896824306
102,103,1.1585881613010074e-07,1.0564712418271019e-07,10.803992029011978,0.0,0.0,0.0,0.0,1.0211691947390546e-08,14.368753775900908,14.880396791429153,0.0009493954837254889,1.8741083460240807e-06,0.1635249758448535
103,104,1.1581371520757563e-07,1.0560193506312362e-07,10.804009557919171,0.0,0.0,0.0,0.0,1.0211780144452013e-08,14.371778323663191,14.88623906229871,0.0009495103773574179,3.226562509822184e-06,0.1635230766209719
104,105,1.1579137622352447e-07,1.0557896143204606e-07,10.804072551230629,0.0,0.0,0.0,0.0,1.0212414791478416e-08,14.373755648769855,14.888146055365223,0.0009494909954450649,3.974944000771683e-06,0.16351683032563308
105,106,1.1580617601059705e-07,1.0555439221784685e-07,10.804276094791403,0.0,0.0,3.74830462232168e-11,0.0,1.0214300746526977e-08,14.377118823123373,14.893282763625077,0.0009495130715232325,6.345160412370218e-05,0.16350677580219902
106,107,1.1578205197507133e-07,1.0556724355866707e-07,10.8041495506292,0.0,0.0,1.6796536560444578e-12,0.0,1.0213128762748219e-08,14.375023154127257,14.890078949229302,0.0009494950613972802,1.3893964836470173e-05,0.16351302052319247
107,108,1.1596706680212969e-07,1.0574311048527563e-07,10.805300177131464,0.0,0.0,0.0,0.0,1.0223956316854063e-08,14.36651262126575,14.912578216747956,0.0009505248771028435,2.5743700011823037e-05,0.16346139261525974
108,109,1.1576506378320808e-07,1.0554940639443094e-07,10.804416740694004,0.0,0.0,0.0,0.0,1.0215657388777146e-08,14.372942531588283,14.89502763141089,0.0009495078146430052,8.153191524724362e-06,0.16350089216761368
109,110,1.1575681237420778e-07,1.0554101023414038e-07,10.804424197505014,0.0,0.0,0.0,0.0,1.021580214006739e-08,14.37298396424023,14.89464338580761,0.0009495847362584092,5.88358475007236e-06,0.16349867307558497
110,111,1.1574420043559134e-07,1.055277199920902e-07,10.804468598757012,0.0,0.0,0.0,0.0,1.0216480443501148e-08,14.37312001103688,14.894393713962677,0.000949804723207636,1.5714921553756758e-06,0.1634912930111369
111,112,1.1574069126579363e-07,1.0552410016348533e-07,10.804466042773923,0.0,0.0,0.0,0.0,1.0216591102308294e-08,14.373259605869006,14.893969486606895,0.0009498190666508879,1.6647771255196533e-06,0.16348963748445725
112,113,1.1573503143358227e-07,1.0551843198048626e-07,10.804438323877243,0.0,0.0,0.0,0.0,1.0216599453096012e-08,14.373648988813082,14.892774923674303,0.0009497792603960861,1.852065724719145e-06,0.16348955716526206
113,114,1.1572514892122841e-07,1.0550834334731296e-07,10.80443880070142,0.0,0.0,2.6041118811267135e-14,0.0,1.0216779532796633e-08,14.374018654281086,14.892752855587336,0.0009497745852651711,2.069444618005667e-06,0.1634964096262791
114,115,1.1568282616386036e-07,1.0544806966976263e-07,10.804549515049745,0.0,0.0,1.6084874948781497e-11,0.0,1.021867161914895e-08,14.375490361366374,14.896915003068841,0.0009499560927752284,4.140284632032612e-05,0.16355602499035127
115,116,1.1563546197676541e-07,1.0541480452440043e-07,10.804698244570105,0.0,0.0,0.0,0.0,1.022065745236498e-08,14.372880220574622,14.904609047420655,0.000950262464762726,6.6212335459548935e-06,0.16363372674012233
116,117,1.1560683032511884e-07,1.0538445020734585e-07,10.804866638502668,0.0,0.0,0.0,0.0,1.0222380117772997e-08,14.372603234096228,14.908079512375501,0.0009505928138407106,5.462080186226094e-06,0.16365579532283733
117,118,1.1556181629374136e-07,1.053348574932316e-07,10.805244542438606,0.0,0.0,6.859149383919393e-13,0.0,1.0226272885571366e-08,14.372517702940957,14.920675180247306,0.0009510911077089672,7.867187475017538e-06,0.16371843510119602
118,119,1.155591838413521e-07,1.0533320071560508e-07,10.805236453730318,0.0,0.0,0.0,0.0,1.0225983125747015e-08,14.371943675390554,14.921882618436523,0.0009509540246848556,1.9787047224782524e-06,0.16371575213502246
119,120,1.1555678604821425e-07,1.0533052155587955e-07,10.805273652511083,0.0,0.0,0.0,0.0,1.0226264492334704e-08,14.371638207637385,14.923507795190282,0.0009509183734991583,1.973633098087119e-06,0.16371797723165404
120,121,1.1554082425154897e-07,1.0531322596264268e-07,10.805454531578299,0.0,0.0,0.0,0.0,1.0227598288906294e-08,14.369067033663768,14.932155992161443,0.0009506708664627395,5.278115411920793e-06,0.1637234055212628
