Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
    95,  6.9514e+01,  1.2186580519036598e-01, -5.4874989937796770e-02,  1.4701682633051555e-01, -5.5222001826654363e-03,  1.1524855705634660e-01,  6.9727434089669763e-02,  1.6300418185674478e-01, -6.4484547168780415e-03
    96,  6.9514e+01,  1.2186580519036598e-01, -5.4874989937796770e-02,  1.4701682633051555e-01, -5.5222001826654363e-03,  1.1524740458230077e-01,  6.9728131364010654e-02,  1.6300418185674478e-01, -6.4484547168780415e-03
    97,  6.9514e+01,  1.2186580519036598e-01, -5.4874989937796770e-02,  1.4701682633051555e-01, -5.5222001826654363e-03,  1.1524740458230077e-01,  6.9727434089669763e-02,  1.6300581189856336e-01, -6.4484547168780415e-03
    98,  6.9514e+01,  1.2186580519036598e-01, -5.4874989937796770e-02,  1.4701682633051555e-01, -5.5222001826654363e-03,  1.1524740458230077e-01,  6.9727434089669763e-02,  1.6300418185674478e-01, -6.4483547168780412e-03
    99,  7.4446e+01,  1.2182717831274009e-01, -5.4908456394499990e-02,  1.4703017656061446e-01, -5.5130951664690052e-03,  1.1521850873635470e-01,  6.9742132997059933e-02,  1.6301191400400708e-01, -6.4370407118689351e-03
   100,  7.4446e+01,  1.2182839658452321e-01, -5.4908456394499990e-02,  1.4703017656061446e-01, -5.5130951664690052e-03,  1.1521850873635470e-01,  6.9742132997059933e-02,  1.6301191400400708e-01, -6.4370407118689351e-03
   101,  7.4446e+01,  1.2182717831274009e-01, -5.4907907309936048e-02,  1.4703017656061446e-01, -5.5130951664690052e-03,  1.1521850873635470e-01,  6.9742132997059933e-02,  1.6301191400400708e-01, -6.4370407118689351e-03
   102,  7.4446e+01,  1.2182717831274009e-01, -5.4908456394499990e-02,  1.4703164686238007e-01, -5.5130951664690052e-03,  1.1521850873635470e-01,  6.9742132997059933e-02,  1.6301191400400708e-01, -6.4370407118689351e-03
   103,  7.4446e+01,  1.2182717831274009e-01, -5.4908456394499990e-02,  1.4703017656061446e-01, -5.5129951664690049e-03,  1.1521850873635470e-01,  6.9742132997059933e-02,  1.6301191400400708e-01, -6.4370407118689351e-03
   104,  7.4446e+01,  1.2182717831274009e-01, -5.4908456394499990e-02,  1.4703017656061446e-01, -5.5130951664690052e-03,  1.1521966092144206e-01,  6.9742132997059933e-02,  1.6301191400400708e-01, -6.4370407118689351e-03
   105,  7.4446e+01,  1.2182717831274009e-01, -5.4908456394499990e-02,  1.4703017656061446e-01, -5.5130951664690052e-03,  1.1521850873635470e-01,  6.9742830418389898e-02,  1.6301191400400708e-01, -6.4370407118689351e-03
   106,  7.4446e+01,  1.2182717831274009e-01, -5.4908456394499990e-02,  1.4703017656061446e-01, -5.5130951664690052e-03,  1.1521850873635470e-01,  6.9742132997059933e-02,  1.6301354412314711e-01, -6.4370407118689351e-03
   107,  7.4446e+01,  1.2182717831274009e-01, -5.4908456394499990e-02,  1.4703017656061446e-01, -5.5130951664690052e-03,  1.1521850873635470e-01,  6.9742132997059933e-02,  1.6301191400400708e-01, -6.4369407118689348e-03
   108,  7.9310e+01,  1.2185379097781937e-01, -5.4894938597866400e-02,  1.4702442507014141e-01, -5.5153109216251354e-03,  1.1524263140285110e-01,  6.9731765525943137e-02,  1.6300736050923106e-01, -6.4398478662217344e-03
   109,  7.9310e+01,  1.2185500951572915e-01, -5.4894938597866400e-02,  1.4702442507014141e-01, -5.5153109216251354e-03,  1.1524263140285110e-01,  6.9731765525943137e-02,  1.6300736050923106e-01, -6.4398478662217344e-03
